Id,LotFrontage,LotArea,BldgType1Fam,BldgType2fmCon,BldgTypeDuplex,BldgTypeTwnhs,BldgTypeTwnhsE,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,HeatingGasA,HeatingGasW,HeatingGrav,HeatingWall,CentralAirN,CentralAirY,GrLivArea,PoolArea,YrSold
1,50,13500,1,0,0,0,0,10,5,1,0,6,2007,483,4,1,0,0,0,0,1,630,0,2008
2,,10237,1,0,0,0,0,8,5,1,0,6,1981,1176,3,1,0,0,0,0,1,1316,0,2006
3,,11341,1,0,0,0,0,6,6,1,0,5,1994,1151,2,1,0,0,0,0,1,1477,0,2010
4,90,8414,1,0,0,0,0,10,6,1,1,6,1925,884,6,1,0,0,0,1,0,1204,0,2008
5,69,4435,1,0,0,0,0,6,5,2,0,5,1918,969,2,1,0,0,0,0,1,1349,0,2009
6,60,7015,0,0,1,0,0,4,6,2,0,6,2005,1029,3,1,0,0,0,0,1,1376,0,2007
7,,14850,1,0,0,0,0,4,3,2,1,7,1967,952,3,1,0,0,0,0,1,1733,0,2009
8,,2117,1,0,0,0,0,7,5,1,1,5,1975,793,3,1,0,0,0,0,1,923,0,2008
9,90,8978,1,0,0,0,0,4,5,1,1,6,1937,732,3,1,0,0,0,0,1,1639,0,2009
10,65,9170,0,0,1,0,0,6,5,2,1,6,1952,520,3,1,0,0,0,0,1,1224,0,2008
11,21,7449,1,0,0,0,0,5,7,2,0,6,1980,1947,3,1,0,0,0,0,1,1872,0,2009
12,40,39104,0,1,0,0,0,7,7,2,1,8,1969,1581,4,1,0,0,0,0,1,1094,0,2009
13,80,8410,1,0,0,0,0,5,5,1,1,6,1962,1188,3,1,0,0,0,0,1,1713,0,2007
14,174,10452,0,0,1,0,0,5,6,1,1,6,1928,960,3,1,0,0,0,0,1,1744,0,2009
15,36,6897,1,0,0,0,0,6,5,2,1,7,1922,1099,4,1,0,0,0,0,1,899,0,2007
16,60,16669,0,0,0,0,1,7,6,2,0,6,1977,910,2,1,0,0,0,0,1,792,0,2006
17,,12704,1,0,0,0,0,5,7,1,0,11,1964,1694,1,1,0,0,0,1,0,1721,0,2006
18,70,9000,1,0,0,0,0,9,6,1,0,5,1976,1372,4,1,0,0,0,0,1,1314,0,2006
19,72,10083,1,0,0,0,0,6,5,2,1,5,2008,612,2,1,0,0,0,0,1,1382,0,2009
20,75,7642,1,0,0,0,0,7,6,2,0,5,2006,1792,3,1,0,0,0,0,1,2240,0,2008
21,41,12376,0,0,1,0,0,6,6,1,0,8,1940,1362,2,1,0,0,0,0,1,960,0,2008
22,57,10000,0,0,0,0,1,8,6,1,1,5,2000,1150,3,1,0,0,0,0,1,1766,0,2006
23,,7861,1,0,0,0,0,7,7,2,0,5,1995,612,2,1,0,0,0,0,1,2046,0,2006
24,82,1680,1,0,0,0,0,4,5,2,0,6,2005,848,3,1,0,0,0,0,1,2554,0,2008
25,35,7875,1,0,0,0,0,5,6,1,0,5,1949,982,3,1,0,0,0,0,1,1294,0,2007
26,,8544,1,0,0,0,0,7,5,1,0,4,2002,1040,3,1,0,0,0,0,1,1689,0,2009
27,78,6768,1,0,0,0,0,5,8,1,0,6,1981,1237,2,1,0,0,0,0,1,1097,0,2006
28,116,6762,1,0,0,0,0,4,5,2,0,7,2006,702,2,1,0,0,0,0,1,630,0,2006
29,75,16659,1,0,0,0,0,6,4,1,0,9,1924,969,3,1,0,0,0,0,1,835,0,2008
30,53,6960,1,0,0,0,0,6,9,1,0,8,1977,798,4,1,0,0,0,0,1,1040,0,2009
31,,9938,1,0,0,0,0,7,7,1,1,5,1910,1094,3,1,0,0,0,0,1,1720,0,2010
32,82,8777,0,0,0,0,1,7,6,1,0,6,1966,1073,3,1,0,0,0,0,1,800,0,2006
33,60,8544,1,0,0,0,0,7,5,1,0,6,2000,864,4,1,0,0,0,0,1,1829,0,2006
34,60,8125,1,0,0,0,0,4,5,1,0,5,1945,816,5,1,0,0,0,0,1,1950,0,2006
35,65,7050,1,0,0,0,0,5,8,2,1,4,2007,1143,3,1,0,0,0,0,1,1310,0,2006
36,60,10437,1,0,0,0,0,8,5,1,0,8,1970,1734,3,1,0,0,0,0,1,1756,0,2006
37,80,7658,1,0,0,0,0,5,7,2,0,7,2007,702,3,1,0,0,0,0,1,1144,0,2006
38,,11844,1,0,0,0,0,8,4,1,1,8,1961,649,2,1,0,0,0,0,1,1375,512,2008
39,78,7472,1,0,0,0,0,8,7,1,0,5,2001,1440,4,1,0,0,0,0,1,773,0,2009
40,70,8400,1,0,0,0,0,8,5,2,0,8,2000,1064,2,0,1,0,0,0,1,1148,0,2009
41,52,6563,1,0,0,0,0,6,6,1,1,7,1955,1134,2,1,0,0,0,0,1,1692,0,2008
42,77,9250,1,0,0,0,0,5,5,2,1,5,2005,1148,3,1,0,0,0,1,0,1382,0,2010
43,83,10400,1,0,0,0,0,7,5,2,0,6,1961,912,4,1,0,0,0,0,1,520,0,2006
44,108,9612,1,0,0,0,0,9,5,2,1,9,2002,1436,3,1,0,0,0,0,1,1766,0,2006
45,75,9098,1,0,0,0,0,5,6,2,0,7,1972,1416,2,1,0,0,0,0,1,1144,0,2009
46,51,9042,1,0,0,0,0,6,5,2,0,7,1930,1056,4,1,0,0,0,0,1,1639,0,2006
47,,9020,1,0,0,0,0,7,6,1,0,10,1961,3200,4,1,0,0,0,0,1,2646,0,2007
48,114,13006,1,0,0,0,0,5,4,1,0,7,2000,777,3,1,0,0,0,0,1,1786,0,2006
49,56,11670,1,0,0,0,0,7,5,3,1,6,2007,1113,3,1,0,0,0,0,1,1369,0,2010
